label,text
spam,Win a free iPhone today! Click now!
ham,Meeting at 3pm in conference room
spam,Limited time offer! 50% off all products!
ham,Reminder: Project deadline tomorrow
spam,You won $1000! Claim your prize!
ham,Lunch tomorrow at the usual place?
ham,The report is attached for your review
spam,Exclusive deal just for you!
ham,Weekly team status update
spam,Congratulations! You are our lucky winner!
spam,Get rich quick with this one trick!
ham,Can we reschedule our meeting?
spam,URGENT: Your account needs verification
ham,FYI: The documents you requested
ham,Let me know your availability next week
spam,Double your money in 24 hours!
ham,The client approved the proposal
spam,Claim your free gift card now!
ham,Please review the attached contract
spam,Last chance to claim your bonus!
